Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D85, D86, D9",D_SOD-123,84,1N4148,
"DL1, DL10, DL11, DL12, DL13, DL14, DL15, DL16, DL17, DL18, DL19, DL2, DL20, DL21, DL22, DL23, DL24, DL25, DL26, DL27, DL28, DL29, DL3, DL30, DL31, DL32, DL33, DL34, DL35, DL36, DL37, DL38, DL39, DL4, DL40, DL41, DL42, DL43, DL44, DL45, DL46, DL47, DL48, DL49, DL5, DL50, DL51, DL52, DL53, DL54, DL55, DL56, DL57, DL58, DL59, DL6, DL60, DL61, DL62, DL63, DL64, DL65, DL66, DL67, DL68, DL69, DL7, DL70, DL71, DL72, DL73, DL74, DL75, DL76, DL77, DL78, DL79, DL8, DL80, DL81, DL82, DL83, DL9",MX_SK6812MINI-E_REV,83,SK6812,
EN1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder,
J1,OLED_0.91_128x32,1,oled Disply,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW3, SW30, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW45, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW59, SW6, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW72, SW73, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW9",MX100H,72,SW_Push_45deg,
"SW29, SW58",MX200H,2,SW_Push_45deg,
"SW31, SW44",MX150H,2,SW_Push_45deg,
"SW46, SW71",MX175H,2,SW_Push_45deg,
SW60,MX225H,1,SW_Push_45deg,
"SW74, SW75, SW76",MX125H,3,SW_Push_45deg,
SW77,MX625H,1,SW_Push_45deg,
